Date,Time (GMT),Predicted (ft),Verified (ft)
4/1/2024,0:00,2.558,3.16
4/1/2024,1:00,2.64,3.27
4/1/2024,2:00,2.809,3.33
4/1/2024,3:00,3.071,3.57
4/1/2024,4:00,3.423,3.95
4/1/2024,5:00,3.842,4.34
4/1/2024,6:00,4.261,4.72
4/1/2024,7:00,4.585,5.07
4/1/2024,8:00,4.744,5.31
4/1/2024,9:00,4.709,5.21
4/1/2024,10:00,4.463,4.95
4/1/2024,11:00,3.999,4.5
4/1/2024,12:00,3.358,3.83
4/1/2024,13:00,2.634,3.01
4/1/2024,14:00,1.923,2.27
4/1/2024,15:00,1.292,1.6
4/1/2024,16:00,0.8,1.14
4/1/2024,17:00,0.518,0.89
4/1/2024,18:00,0.489,0.85
4/1/2024,19:00,0.693,1.1
4/1/2024,20:00,1.064,1.47
4/1/2024,21:00,1.535,1.9
4/1/2024,22:00,2.033,2.4
4/1/2024,23:00,2.468,2.8
